id,title,author,genre,mood,description,rating
1,"Harry Potter and the Sorcerer's Stone","J.K. Rowling","Fantasy","fantasy","A young wizard's first year at Hogwarts School of Witchcraft and Wizardry",4.9
2,"The Hobbit","J.R.R. Tolkien","Fantasy","fantasy","A hobbit's unexpected journey to reclaim a lost kingdom",4.4
3,"Mistborn: The Final Empire","Brandon Sanderson","Fantasy","fantasy","A thief discovers her magical powers in a world of ash and mist",4.5
4,"A Game of Thrones","George R.R. Martin","Fantasy","fantasy","Noble families vie for control of the Iron Throne in Westeros",4.5
5,"The Name of the Wind","Patrick Rothfuss","Fantasy","fantasy","A gifted boy grows into a legendary figure of magic and music",4.0
6,"Eragon","Christopher Paolini","Fantasy","fantasy","A farm boy discovers a dragon egg and his destiny as a Dragon Rider",4.7
7,"The Way of Kings","Brandon Sanderson","Fantasy","fantasy","An epic tale of honor, war, and magic in a storm-ravaged world",4.8
8,"The Last Wish","Andrzej Sapkowski","Fantasy","fantasy","Tales of Geralt of Rivia, a monster hunter for hire",4.3
9,"The Lion, the Witch and the Wardrobe","C.S. Lewis","Fantasy","fantasy","Four siblings discover the magical world of Narnia through a wardrobe",4.5
10,"Percy Jackson & the Lightning Thief","Rick Riordan","Fantasy","fantasy","A boy discovers he's the son of a Greek god in modern America",4.8
11,"Pride and Prejudice","Jane Austen","Romance","romance","Love and misunderstandings in Regency England",4.9
12,"The Notebook","Nicholas Sparks","Romance","romance","A timeless love story that spans decades through memory and devotion",4.5
13,"Me Before You","Jojo Moyes","Romance","romance","A quirky caretaker transforms the life of a paralyzed man",4.5
14,"Outlander","Diana Gabaldon","Romance","romance","A WWII nurse time-travels to 18th century Scotland and finds love",4.5
15,"Twilight","Stephenie Meyer","Romance","romance","A teenage girl falls for a mysterious vampire, changing her world forever",4.0
16,"The Fault in Our Stars","John Green","Romance","romance","Two teens with cancer bond over humor, philosophy, and love",4.5
17,"To All the Boys I've Loved Before","Jenny Han","Romance","romance","Secret love letters accidentally sent change everything for Lara Jean",4.5
18,"Red, White & Royal Blue","Casey McQuiston","Romance","romance","Enemies-to-lovers romance between the First Son and a British Prince",4.5
19,"It Ends With Us","Colleen Hoover","Romance","romance","A woman's complex relationships force her to confront difficult truths",4.5
20,"Beach Read","Emily Henry","Romance","romance","Two rival writers challenge each other to write outside their comfort zones",4.5
21,"Dune","Frank Herbert","Sci-Fi","sci-fi","Power, politics, and prophecy on the desert planet Arrakis",4.9
22,"Ender's Game","Orson Scott Card","Sci-Fi","sci-fi","A child genius is trained in military strategy to save humanity",4.5
23,"Neuromancer","William Gibson","Sci-Fi","sci-fi","The cyberpunk novel that defined a genre and predicted the internet",4.5
24,"Snow Crash","Neal Stephenson","Sci-Fi","sci-fi","A hacker uncovers a digital virus with ancient linguistic roots",4.5
25,"The Martian","Andy Weir","Sci-Fi","sci-fi","An astronaut uses science and humor to survive alone on Mars",4.5
26,"Ready Player One","Ernest Cline","Sci-Fi","sci-fi","A VR treasure hunt in a dystopian future obsessed with 80s culture",4.5
